CardName
Asphyxiate
Grotesque Mutation
Vampire Noble
Grotesque Mutation
Twins of Maurer Estate
Alms of the Vein
Stromkirk Mentor
Indulgent Aristocrat
Hanweir Watchkeep
Asylum Visitor
Twins of Maurer Estate
Vampire Noble
Twins of Maurer Estate
Vampire Noble
Vampire Noble
Vampire Noble
Immerwolf FOIL
Olivia's Bloodsworn
Alms of the Vein
Olivia's Bloodsworn
Alms of the Vein
Stromkirk Mentor
Call the Bloodline
Twins of Maurer Estate
Markov Dreadknight
Hinterland Hermit
Village Ironsmith
Hinterland Hermit
Village Ironsmith
Hinterland Hermit
Village Ironsmith
Ulvenwald Mystics
Ulvenwald Mystics
Ulvenwald Mystics
Instigator Gang
Hanweir Watchkeep
Grizzled Outcasts
Full Moon's Rise
Full Moon's Rise
Scorned Villager
Ulvenwald Mystics
Solitary Hunter
Breakneck Rider
Convicted Killer
Breakneck Rider
Sage of Ancient Lore
Village Messenger
Duskwatch Recruiter
Hinterland Logger
Gatstaf Arsonists
Convicted Killer
Hinterland Logger
Hedron Blade
Goblin War Paint
Swarm Surge
Gravedigger
Akroan Skyguard
Retreat to Valakut
Convicted Killer
Kessig Forgemaster
Convicted Killer
Satyr Wayfinder
Rolling Thunder
Curse of the Nightly Hunt
Rollick of Abandon
Feral Ridgewolf
Stone Haven Medic
Hero of Iroas
Pharagax Giant
Cyclops of One-Eyed Pass FOIL
Curse of Stalked Prey
Russet Wolves
Hellhole Flailer
Loyal Pegasus
Rix Maadi Guildmage
Rix Maadi Guildmage
Grim Discovery
Angelic Gift
Ondu Greathorn
Ondu Greathorn
Kor Entanglers
Solitary Hunter
Hinterland Logger
Cranial Archive
Grave Birthing
Veilborn Ghoul
Felidar Cub
Beckon Apparition
Gatstaf Arsonists
Urgent Exorcism
Sage of Ancient Lore FOIL
Hedron Blade
Inspired Charge
Blisterpod
Tajuru Stalwart
Rise from the Tides
Survive the Night
Lamplighter of Selhoff
Lamplighter of Selhoff
Deathgazer
Black Cat
Blisterpod
Akroan Skyguard
Stitchwing Skaab
Hermit of the Natterknolls
Hamlet Captain
Bone Splinters
Solitary Hunter
Altar's Reap
Gatstaf Arsonists
Demon's Grasp
Lambholt Pacifist
Complete Disregard
Unnatural Aggression
Fevered Visions
Rise from the Tides
Lamplighter of Selhoff
Ghostly Wings
Jace's Scrutiny
Lamplighter of Selhoff
Kruphix, God of Horizons
Swell of Growth
Forerunner of Slaughter
Pensive Minotaur
Beckon Apparition
Goblin War Paint
Blisterpod
Prized Amalgam
Bone Splinters
Reckless Reveler
Roil's Retribution
Boiling Earth
Tunneling Geopede
Goblin War Paint
Unnatural Aggression
Culling Drone
Titan's Presence
Pharagax Giant
Bone Splinters
Scour from Existence
Nettle Drone
Felhide Brawler
Living Armor
Akoum Stonewaker
hurloon Minotaur
Volcanic Upheaval
Skulking Knight
hill Giant
Mire Shade
Drownyard Explorers
Survive the Night
Touch of the Void
Odunos River Trawler
Abyssal Specter
Renegade Demon
hill Giant
Culling Drone
hill Giant
Furtive Homunculus
Jace, Unraveler of Secrets
Earthen Arms
Compelling Deterrence
Invocation of Saint Traft
Explosive Apparatus
Survive the Night
Catalog
Silburlind Snapper
Fleeting Memories
Explosive Apparatus
Compelling Deterrence
Fertile Thicket
Jace's Scrutiny
Shambling Vent
Dawn to Dusk
Akroan Skyguard
Survive the Night
Shatterskull Recruit
Pharagax Giant
Smite the Monstrous
Oran-Reif Invoker
Bone Splinters
Skitterskin
Gurmag Angler
Complete Disregard
Grave Birthing
Malfegor FOIL
Kitesail Scout
Ghostly Sentinel
Empyrial Plate
Impetuous Sunchaser
Gruesome Deformity
Angelic Gift
Scour from Existence
Eyeless Watcher
Blighted Steppe
Encircling Fissure
Seek the Wilds
Hedron Blade
Felidar Cub
Oreskos Swiftclaw
Urgent Exorcism
Kozilek's Sentinel
Gideon's Reproach
hill Giant
Hero of Goma Fada
Brood Butcher
Inspired Charge
Hollowhenge Spirit
Nettle Drone
Pathway Arrows
Aligned Hedron Network
Warchanter of Mogis
Bone Splinters
Bone Splinters
Dutiful Return
Explosive Apparatus
Inspired Charge
Lithomancer's Focus
Kitesail Scout
Pheres-Band Raiders
Outnumber
Infuse with the Elements
Eyeless Watcher
Altar's Reap
Touch of the Void
Tandem Tactics
Volcanic Upheaval
Natural Connection
Grave Birthing
Inspired Charge
Resolute Blademaster
Tajuru Warcaller
Swell of Growth
Touch of the Void
Blighted Fen
Processor Assault
Satyr Wayfinder
Catacomb Sifter
Mind Raker
Evolving Wilds
Odunos River Trawler
Resolute Blademaster
Kozilek's Sentinel
Pitchburn Devils
Nirkana Assassin
Retreat to Hagra
Dawn to Dusk
Crumble to Dust
Warchanter of Mogis
Urgent Exorcism
Altar's Reap
Tajuru Stalwart
Midnight Ritual
Odunos River Trawler
Greater Basilisk
Angelic Gift
Felidar Cub
Kor Entanglers
Emeria Shepherd
Volcanic Upheaval
Riot Devils
Grave Birthing
Culling Drone
Sightless Ghoul
Volcanic Upheaval
Kruphix's Insight
Smothering Abomination
Sigiled Skink
Mortuary Mire
Oakheart Dryads
Kitesail Scout
Tajuru Beastmaster
Hedron Archive
Ally Encampment
Scour from Existence
Munda, Ambush Leader
Drana's Emissary
Grovetender Druids
Lavastep Raider
Ondu Greathorn
Midnight Guard
Scour from Existence FOIL
hurloon Minotaur
Furor of the Bitten
Mind Raker
Touch of the Void
Unnatural Aggression
Dark Banishing
Insatiable Harpy
Pharagax Giant
Stonefury
Pharagax Giant
Shrike Harpy
Hedron Blade
